iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
115, 0.00575, 0.496316, -0.118139, -1.09446e-05, 386.134, -0.00851493, -91.9119, 334.998, -0.00644513, -93.1831 
116, 0.0058, 0.495411, -0.119012, -7.97113e-06, 385.43, -0.00620154, -92.5911, 334.484, -0.00620707, -93.8565 
117, 0.00585, 0.494529, -0.119873, -7.27655e-06, 384.743, -0.00566116, -93.261, 333.975, -0.00725347, -94.5322 
118, 0.0059, 0.493645, -0.120735, -8.89304e-06, 384.055, -0.00691878, -93.932, 333.476, -0.00860919, -95.2059 
119, 0.00595, 0.492781, -0.121595, -1.16806e-05, 383.383, -0.00908752, -94.6012, 332.982, -0.0100254, -95.883 
120, 0.006, 0.491912, -0.122461, -1.46007e-05, 382.707, -0.0113593, -95.2746, 332.493, -0.0103923, -96.5602 
121, 0.00605, 0.491032, -0.123327, -1.54769e-05, 382.023, -0.012041, -95.9485, 332.014, -0.00896663, -97.2403 
122, 0.0061, 0.490198, -0.124199, -1.31052e-05, 381.374, -0.0101959, -96.6267, 331.546, -0.00753009, -97.9226 
123, 0.00615, 0.489381, -0.125075, -1.02931e-05, 380.738, -0.00800802, -97.3084, 331.088, -0.00714167, -98.6031 
124, 0.0062, 0.488568, -0.125949, -8.98552e-06, 380.106, -0.00699073, -97.9883, 330.635, -0.00730276, -99.2741 
125, 0.00625, 0.487725, -0.126807, -8.95001e-06, 379.45, -0.00696311, -98.6562, 330.194, -0.00845181, -99.9437 
126, 0.0063, 0.486941, -0.127663, -1.06865e-05, 378.84, -0.00831408, -99.3215, 329.755, -0.01003, -100.612 
127, 0.00635, 0.486156, -0.128515, -1.35292e-05, 378.229, -0.0105257, -99.9846, 329.326, -0.0109088, -101.275 
128, 0.0064, 0.485399, -0.129362, -1.54167e-05, 377.641, -0.0119942, -100.644, 328.901, -0.0115453, -101.941 
129, 0.00645, 0.484641, -0.130215, -1.65134e-05, 377.051, -0.0128474, -101.307, 328.508, -0.010584, -102.593 
130, 0.0065, 0.483902, -0.13105, -1.50378e-05, 376.476, -0.0116994, -101.957, 328.074, -0.0100767, -103.259 
131, 0.00655, 0.483089, -0.131904, -1.37334e-05, 375.843, -0.0106846, -102.621, 327.682, -0.00929416, -103.92 
132, 0.0066, 0.482367, -0.132753, -1.17928e-05, 375.281, -0.00917477, -103.282, 327.296, -0.00986709, -104.57 
133, 0.00665, 0.481644, -0.133586, -1.23784e-05, 374.719, -0.00963037, -103.93, 326.914, -0.0116516, -105.216 
134, 0.0067, 0.48097, -0.134412, -1.53826e-05, 374.195, -0.0119677, -104.573, 326.536, -0.0128568, -105.85 
135, 0.00675, 0.480293, -0.135222, -1.78387e-05, 373.668, -0.0138785, -105.203, 326.164, -0.0137282, -106.482 
136, 0.0068, 0.479636, -0.136029, -1.93629e-05, 373.156, -0.0150643, -105.831, 325.798, -0.0128693, -107.106 
137, 0.00685, 0.478972, -0.136828, -1.79643e-05, 372.64, -0.0139762, -106.452, 325.439, -0.011075, -107.728 
138, 0.0069, 0.478341, -0.137625, -1.49741e-05, 372.15, -0.0116499, -107.072, 325.089, -0.011118, -108.345 
139, 0.00695, 0.477715, -0.138417, -1.46196e-05, 371.662, -0.0113741, -107.688, 324.746, -0.0103257, -108.956 
140, 0.007, 0.477094, -0.139202, -1.3336e-05, 371.179, -0.0103754, -108.299, 324.411, -0.0122179, -109.554 
141, 0.00705, 0.476464, -0.139969, -1.59551e-05, 370.689, -0.0124131, -108.896, 324.079, -0.0126988, -110.144 
142, 0.0071, 0.475854, -0.140724, -1.71273e-05, 370.215, -0.013325, -109.483, 323.751, -0.0135821, -110.723 
143, 0.00715, 0.475255, -0.141463, -1.85219e-05, 369.748, -0.01441, -110.058, 323.424, -0.0119229, -111.29 
144, 0.0072, 0.474643, -0.142187, -1.64343e-05, 369.272, -0.0127859, -110.622, 323.124, -0.0105766, -111.849 
145, 0.00725, 0.474075, -0.142902, -1.43793e-05, 368.83, -0.0111871, -111.178, 322.785, -0.00908943, -112.41 
146, 0.0073, 0.473464, -0.14362, -1.20208e-05, 368.355, -0.00935215, -111.736, 322.475, -0.00890941, -112.962 
147, 0.00735, 0.472904, -0.144328, -1.1414e-05, 367.919, -0.00888012, -112.287, 322.175, -0.0105463, -113.507 
148, 0.0074, 0.472369, -0.145028, -1.37873e-05, 367.503, -0.0107265, -112.831, 321.881, -0.0120006, -114.042 
149, 0.00745, 0.471846, -0.145714, -1.62782e-05, 367.096, -0.0126644, -113.366, 321.589, -0.0134382, -114.562 
150, 0.0075, 0.471312, -0.146381, -1.83538e-05, 366.68, -0.0142792, -113.884, 321.301, -0.0136269, -115.069 
151, 0.00755, 0.47078, -0.147029, -1.84626e-05, 366.267, -0.0143639, -114.388, 321.013, -0.0131274, -115.57 
152, 0.0076, 0.470256, -0.147669, -1.74227e-05, 365.859, -0.0135548, -114.886, 320.73, -0.0123258, -116.057 
153, 0.00765, 0.469736, -0.148292, -1.6125e-05, 365.455, -0.0125453, -115.371, 320.452, -0.0115434, -116.539 
154, 0.0077, 0.469228, -0.148909, -1.48588e-05, 365.059, -0.0115602, -115.851, 320.178, -0.0114314, -117.011 
155, 0.00775, 0.468719, -0.149513, -1.47484e-05, 364.663, -0.0114742, -116.321, 319.909, -0.0129289, -117.47 
156, 0.0078, 0.468201, -0.150102, -1.73646e-05, 364.26, -0.0135096, -116.78, 319.647, -0.0149767, -117.923 
157, 0.00785, 0.467717, -0.150684, -2.08696e-05, 363.884, -0.0162365, -117.232, 319.388, -0.0154409, -118.36 
158, 0.0079, 0.467234, -0.151242, -2.17585e-05, 363.508, -0.0169281, -117.667, 319.131, -0.0144057, -118.783 
159, 0.00795, 0.466752, -0.151783, -1.97248e-05, 363.133, -0.0153459, -118.087, 318.874, -0.0135536, -119.193 
160, 0.008, 0.466264, -0.152307, -1.77556e-05, 362.753, -0.0138139, -118.495, 318.621, -0.0128591, -119.594 
161, 0.00805, 0.465785, -0.152819, -1.62033e-05, 362.381, -0.0126062, -118.893, 318.371, -0.0125981, -119.984 
162, 0.0081, 0.465313, -0.153317, -1.5729e-05, 362.013, -0.0122372, -119.281, 318.124, -0.0135884, -120.366 
163, 0.00815, 0.464863, -0.153807, -1.73884e-05, 361.663, -0.0135281, -119.661, 317.884, -0.0147769, -120.734 
164, 0.0082, 0.46442, -0.154279, -2.00747e-05, 361.319, -0.0156181, -120.029, 317.645, -0.0169762, -121.092 
