iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
36, 0.0018, 0.0394812, 78.7956, -2.47382, 0.145448, 0.024581, 1.23077 
37, 0.00185, 0.0367696, 78.792, -2.47382, 0.145448, 0.024581, 1.23285 
38, 0.0019, 0.0406196, 78.7885, -2.47382, 0.145448, 0.024581, 1.23496 
39, 0.00195, 0.0269012, 78.7854, -2.47382, 0.145448, 0.024581, 1.23696 
40, 0.002, 0.0424478, 78.7827, -2.47382, 0.145448, 0.024581, 1.23881 
41, 0.00205, 0.043121, 78.7801, -2.47382, 0.145448, 0.024581, 1.24041 
42, 0.0021, 0.0284179, 78.7777, -2.47382, 0.145448, 0.024581, 1.24186 
43, 0.00215, 0.0443547, 78.7753, -2.47382, 0.145448, 0.024581, 1.24316 
44, 0.0022, 0.0403792, 78.7728, -2.47382, 0.145448, 0.024581, 1.24426 
45, 0.00225, 0.0446275, 78.7703, -2.47382, 0.145448, 0.024581, 1.24523 
46, 0.0023, 0.0447172, 78.7679, -2.47382, 0.145448, 0.024581, 1.24595 
47, 0.00235, 0.0377965, 78.7655, -2.47382, 0.145448, 0.024581, 1.24666 
48, 0.0024, 0.0394531, 78.7634, -2.47382, 0.145448, 0.024581, 1.24727 
49, 0.00245, 0.0282787, 78.7614, -2.47382, 0.145448, 0.024581, 1.24797 
50, 0.0025, 0.0318677, 78.7595, -2.47382, 0.145448, 0.024581, 1.24859 
51, 0.00255, 0.0231008, 78.7577, -2.47382, 0.145448, 0.024581, 1.24926 
52, 0.0026, 0.0257441, 78.7558, -2.47382, 0.145448, 0.024581, 1.25002 
53, 0.00265, 0.0398902, 78.7538, -2.47382, 0.145448, 0.024581, 1.25078 
54, 0.0027, 0.0136262, 78.7519, -2.47382, 0.145448, 0.024581, 1.25152 
55, 0.00275, 0.0270314, 78.7499, -2.47382, 0.145448, 0.024581, 1.25216 
56, 0.0028, 0.0474448, 78.7481, -2.47382, 0.145448, 0.024581, 1.25267 
57, 0.00285, 0.0356361, 78.7464, -2.47382, 0.145448, 0.024581, 1.25309 
58, 0.0029, 0.0174013, 78.7447, -2.47382, 0.145448, 0.024581, 1.25335 
59, 0.00295, 0.0472762, 78.743, -2.47382, 0.145448, 0.024581, 1.25365 
60, 0.003, 0.0384128, 78.7415, -2.47382, 0.145448, 0.024581, 1.25377 
61, 0.00305, 0.033446, 78.7399, -2.47382, 0.145448, 0.024581, 1.25391 
62, 0.0031, 0.0467862, 78.7383, -2.47382, 0.145448, 0.024581, 1.25391 
63, 0.00315, 0.0459196, 78.7367, -2.47382, 0.145448, 0.024581, 1.25382 
64, 0.0032, 0.02523, 78.7351, -2.47382, 0.145448, 0.024581, 1.25349 
65, 0.00325, 0.0339335, 78.7335, -2.47382, 0.145448, 0.024581, 1.25301 
66, 0.0033, 0.0303734, 78.732, -2.47382, 0.145448, 0.024581, 1.25251 
67, 0.00335, 0.0418189, 78.7305, -2.47382, 0.145448, 0.024581, 1.25198 
68, 0.0034, 0.0172178, 78.729, -2.47382, 0.145448, 0.024581, 1.25141 
