iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
83, 0.00415, 0.647981, -0.193517, -1.33629e-05, 504.129, -0.0103963, -150.556, 449.189, -0.0145227, -150.391 
84, 0.0042, 0.645209, -0.192505, -1.08766e-05, 501.972, -0.008462, -149.769, 447.364, -0.00673052, -149.66 
85, 0.00425, 0.642496, -0.19156, 4.0963e-07, 499.862, 0.000318692, -149.034, 445.486, 0.0188861, -148.947 
86, 0.0043, 0.639851, -0.190638, 2.79503e-05, 497.804, 0.0217453, -148.316, 443.629, 0.0286633, -148.229 
87, 0.00435, 0.637148, -0.189716, 4.14208e-05, 495.701, 0.0322254, -147.599, 441.768, 0.025315, -147.514 
88, 0.0044, 0.634435, -0.188796, 3.69381e-05, 493.59, 0.0287378, -146.883, 439.906, 0.0326441, -146.79 
89, 0.00445, 0.631788, -0.187849, 2.97253e-05, 491.531, 0.0231263, -146.146, 438.07, -0.00286122, -146.036 
90, 0.0045, 0.629085, -0.186874, -1.49914e-05, 489.428, -0.0116633, -145.388, 436.197, -0.0363486, -145.32 
91, 0.00455, 0.626206, -0.185954, -4.22703e-05, 487.188, -0.0328863, -144.672, 434.334, -0.0217235, -144.639 
92, 0.0046, 0.623485, -0.185073, -1.28008e-05, 485.071, -0.00995906, -143.986, 432.461, 0.0317224, -143.977 
93, 0.00465, 0.620853, -0.184217, 4.3357e-05, 483.024, 0.0337317, -143.321, 430.613, 0.0362108, -143.299 
94, 0.0047, 0.618198, -0.18335, 4.54328e-05, 480.958, 0.0353467, -142.646, 428.734, 0.0373094, -142.64 
95, 0.00475, 0.615482, -0.182496, 4.51223e-05, 478.845, 0.0351051, -141.982, 426.885, 0.019439, -141.972 
96, 0.0048, 0.612888, -0.181617, 2.83512e-05, 476.827, 0.0220573, -141.298, 425.047, 0.0171588, -141.269 
