iteration, time, yplus_min, yplus_max, yplus_max_pos_x, yplus_max_pos_y, yplus_max_pos_z, yplus_prom 
51, 0.00255, 0.0250032, 78.7545, -2.47382, 0.145448, 0.024581, 1.24941 
52, 0.0026, 0.0258246, 78.7523, -2.47382, 0.145448, 0.024581, 1.25022 
53, 0.00265, 0.0441549, 78.7501, -2.47382, 0.145448, 0.024581, 1.251 
54, 0.0027, 0.0474684, 78.7478, -2.47382, 0.145448, 0.024581, 1.25165 
55, 0.00275, 0.020298, 78.7455, -2.47382, 0.145448, 0.024581, 1.2522 
56, 0.0028, 0.0438531, 78.7433, -2.47382, 0.145448, 0.024581, 1.25266 
57, 0.00285, 0.0464164, 78.7412, -2.47382, 0.145448, 0.024581, 1.25306 
58, 0.0029, 0.0125238, 78.7392, -2.47382, 0.145448, 0.024581, 1.25338 
59, 0.00295, 0.0470733, 78.7373, -2.47382, 0.145448, 0.024581, 1.25371 
60, 0.003, 0.0471313, 78.7353, -2.47382, 0.145448, 0.024581, 1.25395 
61, 0.00305, 0.0285278, 78.7335, -2.47382, 0.145448, 0.024581, 1.25408 
62, 0.0031, 0.034984, 78.7316, -2.47382, 0.145448, 0.024581, 1.25404 
63, 0.00315, 0.0380207, 78.7297, -2.47382, 0.145448, 0.024581, 1.25388 
64, 0.0032, 0.0450233, 78.7278, -2.47382, 0.145448, 0.024581, 1.25359 
65, 0.00325, 0.0293412, 78.7259, -2.47382, 0.145448, 0.024581, 1.25321 
66, 0.0033, 0.037364, 78.7241, -2.47382, 0.145448, 0.024581, 1.25273 
67, 0.00335, 0.045552, 78.7222, -2.47382, 0.145448, 0.024581, 1.25221 
68, 0.0034, 0.0354917, 78.7204, -2.47382, 0.145448, 0.024581, 1.25158 
