iteration, time, drag coeff, lift coeff, side force coeff, net force [x], net force [y], net force [z], net static pressure force [x], net static pressure force [y], net static pressure force [z] 
68, 0.0034, 0.722598, -0.260073, 3.73539e-06, 562.181, 0.00290613, -202.337, 496.092, 0.00526264, -202.475 
69, 0.00345, 0.720161, -0.2596, 5.4556e-06, 560.285, 0.00424445, -201.969, 494.265, 0.00653625, -202.109 
70, 0.0035, 0.717686, -0.259127, 7.91303e-06, 558.359, 0.00615634, -201.601, 492.433, 0.0075481, -201.737 
71, 0.00355, 0.715191, -0.25865, 1.03511e-05, 556.418, 0.00805318, -201.23, 490.607, 0.00769276, -201.345 
72, 0.0036, 0.712685, -0.258147, 1.04929e-05, 554.469, 0.00816347, -200.839, 488.79, 0.00582955, -200.918 
73, 0.00365, 0.710184, -0.257593, 6.9935e-06, 552.523, 0.00544094, -200.407, 486.994, 0.00354097, -200.469 
74, 0.0037, 0.707702, -0.257006, 2.54055e-06, 550.592, 0.00197655, -199.951, 485.222, 0.00264132, -200.009 
75, 0.00375, 0.705255, -0.256403, 6.1323e-07, 548.689, 0.000477093, -199.482, 483.466, 0.00394656, -199.549 
76, 0.0038, 0.702813, -0.255801, 2.77646e-06, 546.789, 0.00216009, -199.013, 481.716, 0.00615317, -199.093 
77, 0.00385, 0.700359, -0.255207, 6.8322e-06, 544.879, 0.00531545, -198.551, 479.965, 0.00851509, -198.644 
78, 0.0039, 0.697875, -0.254627, 1.15073e-05, 542.947, 0.00895265, -198.1, 478.213, 0.00919286, -198.202 
79, 0.00395, 0.695387, -0.25406, 1.28499e-05, 541.011, 0.00999721, -197.658, 476.464, 0.00817047, -197.749 
80, 0.004, 0.692891, -0.253479, 1.14242e-05, 539.069, 0.00888803, -197.207, 474.723, 0.00603332, -197.279 
81, 0.00405, 0.690404, -0.25287, 7.50388e-06, 537.134, 0.00583802, -196.733, 472.998, 0.00308093, -196.793 
82, 0.0041, 0.687936, -0.252236, 1.98789e-06, 535.214, 0.00154658, -196.24, 471.293, 0.00210814, -196.306 
83, 0.00415, 0.6855, -0.251597, -2.76462e-07, 533.319, -0.000215087, -195.743, 469.598, 0.00412893, -195.822 
84, 0.0042, 0.683062, -0.250964, 2.98766e-06, 531.422, 0.0023244, -195.25, 467.902, 0.00799214, -195.346 
85, 0.00425, 0.680609, -0.250345, 9.79355e-06, 529.514, 0.00761938, -194.768, 466.204, 0.0101386, -194.879 
86, 0.0043, 0.678136, -0.249742, 1.3856e-05, 527.589, 0.0107799, -194.3, 464.512, 0.0102675, -194.417 
87, 0.00435, 0.675675, -0.24915, 1.42525e-05, 525.675, 0.0110884, -193.839, 462.824, 0.00852333, -193.944 
88, 0.0044, 0.673214, -0.248543, 1.13827e-05, 523.761, 0.00885573, -193.367, 461.145, 0.0058849, -193.452 
89, 0.00445, 0.670771, -0.247907, 6.89833e-06, 521.86, 0.0053669, -192.871, 459.478, 0.00366238, -192.949 
90, 0.0045, 0.668345, -0.24725, 2.76367e-06, 519.972, 0.00215013, -192.361, 457.824, 0.00345017, -192.442 
91, 0.00455, 0.665942, -0.246588, 2.04045e-06, 518.103, 0.00158747, -191.845, 456.177, 0.00624694, -191.939 
92, 0.0046, 0.663532, -0.245931, 6.69296e-06, 516.228, 0.00520712, -191.334, 454.527, 0.00998193, -191.445 
93, 0.00465, 0.66111, -0.245289, 1.30485e-05, 514.344, 0.0101517, -190.835, 452.879, 0.0107698, -190.963 
94, 0.0047, 0.658681, -0.244667, 1.46324e-05, 512.454, 0.011384, -190.351, 451.243, 0.0100143, -190.489 
95, 0.00475, 0.65628, -0.244059, 1.3349e-05, 510.586, 0.0103855, -189.878, 449.617, 0.00716734, -190.01 
96, 0.0048, 0.653894, -0.243444, 8.49563e-06, 508.729, 0.0066096, -189.4, 448.008, 0.00456673, -189.516 
97, 0.00485, 0.651537, -0.242806, 3.86043e-06, 506.896, 0.00300342, -188.903, 446.412, 0.0033411, -189.012 
98, 0.0049, 0.649197, -0.242149, 1.90133e-06, 505.075, 0.00147924, -188.392, 444.831, 0.00575504, -188.509 
99, 0.00495, 0.646885, -0.241491, 5.98196e-06, 503.276, 0.00465396, -187.88, 443.254, 0.0100159, -188.007 
100, 0.005, 0.644494, -0.240836, 1.33833e-05, 501.416, 0.0104122, -187.37, 441.678, 0.012527, -187.507 
101, 0.00505, 0.642045, -0.240186, 1.76077e-05, 499.511, 0.0136988, -186.864, 440.115, 0.0113099, -187.036 
102, 0.0051, 0.639699, -0.239578, 1.55209e-05, 497.686, 0.0120753, -186.391, 438.571, 0.00895878, -186.57 
103, 0.00515, 0.637396, -0.238979, 1.11185e-05, 495.894, 0.0086502, -185.926, 437.047, 0.0047188, -186.113 
104, 0.0052, 0.63516, -0.238392, 3.55994e-06, 494.154, 0.00276964, -185.469, 435.54, 0.00128569, -185.641 
105, 0.00525, 0.632962, -0.237783, -2.06864e-06, 492.444, -0.0016094, -184.995, 434.048, 0.00343628, -185.161 
106, 0.0053, 0.630792, -0.237159, 1.54062e-06, 490.756, 0.0011986, -184.51, 432.562, 0.010861, -184.681 
107, 0.00535, 0.628607, -0.236531, 1.40615e-05, 489.056, 0.0109399, -184.021, 431.079, 0.0157069, -184.205 
108, 0.0054, 0.626388, -0.235908, 2.295e-05, 487.33, 0.0178551, -183.537, 429.604, 0.0160274, -183.751 
109, 0.00545, 0.624207, -0.235319, 2.32205e-05, 485.633, 0.0180655, -183.078, 428.143, 0.0123622, -183.316 
110, 0.0055, 0.622065, -0.234758, 1.6484e-05, 483.966, 0.0128245, -182.642, 426.704, 0.005978, -182.89 
111, 0.00555, 0.619964, -0.234212, 5.40423e-06, 482.332, 0.00420449, -182.217, 425.284, 0.00184027, -182.466 
112, 0.0056, 0.617854, -0.233669, -1.73468e-06, 480.69, -0.00134958, -181.794, 423.889, 0.00168642, -182.04 
113, 0.00565, 0.615838, -0.23312, -1.70074e-06, 479.122, -0.00132317, -181.367, 422.508, 0.00736016, -181.61 
114, 0.0057, 0.613837, -0.23256, 8.2692e-06, 477.565, 0.00643343, -180.932, 421.132, 0.0142824, -181.169 
115, 0.00575, 0.611782, -0.231984, 2.05591e-05, 475.966, 0.015995, -180.483, 419.759, 0.0170632, -180.743 
116, 0.0058, 0.60972, -0.231426, 2.56582e-05, 474.362, 0.0199621, -180.049, 418.397, 0.0125915, -180.333 
117, 0.00585, 0.607706, -0.230893, 1.80193e-05, 472.795, 0.014019, -179.635, 417.055, 0.00486265, -179.941 
118, 0.0059, 0.605721, -0.230388, 4.86471e-06, 471.251, 0.00378475, -179.242, 415.738, -0.00105343, -179.564 
119, 0.00595, 0.603755, -0.229904, -5.5553e-06, 469.721, -0.00432202, -178.865, 414.45, -0.00229367, -179.198 
120, 0.006, 0.601886, -0.229435, -7.70365e-06, 468.267, -0.00599344, -178.5, 413.182, 0.00287068, -178.827 
121, 0.00605, 0.60004, -0.228956, 1.10594e-06, 466.831, 0.000860423, -178.128, 411.928, 0.0114858, -178.451 
122, 0.0061, 0.598227, -0.228468, 1.56571e-05, 465.42, 0.0121812, -177.748, 410.682, 0.0162845, -178.077 
123, 0.00615, 0.596417, -0.227979, 2.38437e-05, 464.013, 0.0185504, -177.367, 409.444, 0.0143344, -177.711 
124, 0.0062, 0.594607, -0.227501, 2.06671e-05, 462.604, 0.016079, -176.996, 408.218, 0.00887739, -177.358 
125, 0.00625, 0.592791, -0.227042, 1.17001e-05, 461.191, 0.00910264, -176.638, 407.012, 0.00295408, -177.021 
126, 0.0063, 0.590985, -0.226607, 1.69222e-06, 459.786, 0.00131655, -176.3, 405.836, -0.000129036, -176.702 
127, 0.00635, 0.589261, -0.226197, -3.5182e-06, 458.445, -0.00273716, -175.981, 404.685, 0.0021649, -176.384 
